Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,19.010000,20.709999,18.900000,19.510000,19.510000,8950000
2020-11-12,19.650000,20.049999,18.620001,18.730000,18.730000,6778400
2020-11-13,19.020000,19.740000,18.660000,18.990000,18.990000,4854700
2020-11-16,19.299999,20.469999,19.049999,19.730000,19.730000,7852500
2020-11-17,19.580000,20.549999,19.020000,20.440001,20.440001,5999500
2020-11-18,20.580000,21.110001,19.830000,19.850000,19.850000,5334300
2020-11-19,20.170000,21.049999,19.620001,21.030001,21.030001,4885600
2020-11-20,21.260000,22.559999,21.120001,21.700001,21.700001,8816800
2020-11-23,22.129999,22.400000,21.330000,21.930000,21.930000,6341100
2020-11-24,22.440001,23.320000,21.709999,22.990000,22.990000,6336500
2020-11-25,22.840000,24.209999,22.570000,23.350000,23.350000,4996500
2020-11-27,23.889999,24.400000,23.030001,23.160000,23.160000,4286000
2020-11-30,23.790001,23.840000,21.230000,22.160000,22.160000,7737900
2020-12-01,22.540001,22.590000,21.110001,21.240000,21.240000,5394900
2020-12-02,20.760000,21.740000,20.070000,21.650000,21.650000,4107200
2020-12-03,21.709999,21.790001,20.660000,20.690001,20.690001,4910500
2020-12-04,20.900000,21.350000,20.450001,20.910000,20.910000,4020400
2020-12-07,20.620001,21.700001,20.610001,21.049999,21.049999,3902600
2020-12-08,21.000000,22.219999,21.000000,22.180000,22.180000,4567200
2020-12-09,22.610001,22.690001,20.410000,20.820000,20.820000,5758500
2020-12-10,20.510000,21.370001,20.280001,21.160000,21.160000,3365600
2020-12-11,21.030001,22.549999,20.700001,21.500000,21.500000,4451200
2020-12-14,21.820000,22.190001,20.900000,21.990000,21.990000,3636200
2020-12-15,22.420000,26.139999,22.250000,24.870001,24.870001,12909300
2020-12-16,24.549999,25.139999,23.549999,25.010000,25.010000,5345000
2020-12-17,25.410000,25.610001,24.120001,24.620001,24.620001,5120200
2020-12-18,24.709999,27.650000,24.680000,25.500000,25.500000,12517800
2020-12-21,25.510000,27.879999,25.110001,27.510000,27.510000,8415700
2020-12-22,28.049999,32.189999,27.780001,30.650000,30.650000,13583700
2020-12-23,31.520000,31.889999,29.639999,30.040001,30.040001,7624600
2020-12-24,29.820000,31.100000,29.230000,29.870001,29.870001,3483700
2020-12-28,31.160000,31.629999,25.889999,26.309999,26.309999,11660000
2020-12-29,26.700001,26.700001,24.010000,24.730000,24.730000,8841600
